日期,ASIN,listing标签,SKU,SPU,销量,退款量,退款率
2026-07-12,B01MR12D0J,畅款-备货,883C-B-S,883,1,0,0.00%
2026-07-12,B01MS2FSW5,畅款-备货,883C-B-XL,883,6,0,0.00%
2026-07-12,B01MZ699J4,畅款-备货,883C-Y-L,883,2,0,0.00%
2026-07-12,B01N0RWRAD,畅款-备货,12008C-B-XL,12008,2,0,0.00%
2026-07-12,B01N1YS2N9,畅款-备货,883C-Y-M,883,1,2,200.00%
2026-07-12,B01N2YVYCU,畅款-备货,"883C-B-L,883-B-L",883,1,0,0.00%
2026-07-12,B01N2YXGDZ,畅款-备货,883C-B-M,883,2,0,0.00%
2026-07-12,B01N4J16WE,畅款-备货,883C-B-XS,883,1,0,0.00%
2026-07-12,B01N4KGQCO,畅款-备货,883C-Y-XS,883,2,0,0.00%
2026-07-12,B01N7OO1IC,畅款-备货,883C-Y-XL,883,3,0,0.00%
2026-07-12,B01NCRZYR0,畅款-备货,883C-Y-S,883,4,1,25.00%
2026-07-12,B071KFSKRC,平款-备货,D700287300M-Q91,D7002,1,0,0.00%
2026-07-12,B072KNFRXL,平款-备货,D70028732XL-Q91,D7002,1,0,0.00%
2026-07-12,B072KNFWZ2,平款-备货,D70028730XL-Q91,D7002,2,0,0.00%
2026-07-12,B072KNHL4V,FBA售完即止,12008C-Y-S,12008,1,0,0.00%
2026-07-12,B072LPKNCX,FBA售完即止,"12008C-B-XL,12008-B-XL",12008,1,0,0.00%
2026-07-12,B072N85CRW,FBA售完即止,12008C-Y-M,12008,0,1,100.00%
2026-07-12,B0747LYLS7,FBA售完即止,12008C-Y-L,12008,1,0,0.00%
2026-07-12,B0747LZ9SZ,FBA售完即止,12008C-Y-3XL,12008,1,0,0.00%
2026-07-12,B0747PKVPT,FBA售完即止,12008C-Y-2XL,12008,1,0,0.00%
2026-07-12,B075KBPFZ9,爆款-备货,"12008C-B-S,12008-B-S",12008,15,1,6.67%
2026-07-12,B075KBXFBK,爆款-备货,12008C-B-M,12008,24,1,4.17%
2026-07-12,B075KCL89C,爆款-备货,12008C-B-3XL,12008,4,0,0.00%
2026-07-12,B075KCNKVT,爆款-备货,12008C-B-XL,12008,13,0,0.00%
2026-07-12,B075KDB9K3,爆款-备货,"12008C-B-2XL,12008-B-2XL",12008,10,1,10.00%
2026-07-12,B075KJ75LW,爆款-备货,"12008C-B-L,12008-B-L",12008,12,0,0.00%
2026-07-12,B075KKZ5DV,爆款-备货,12008C-B-4XL,12008,3,0,0.00%
2026-07-12,B0772XQZQG,平款-备货,1516-B-M/L,1516,6,0,0.00%
2026-07-12,B078WQWJQ6,清货专项,1518-B-XL/2XL,1518,2,0,0.00%
2026-07-12,B078WRC716,清货专项,1518-B-M/L,1518,2,0,0.00%
2026-07-12,B078WRG33Y,清货专项,1518-Y-M/L,1518,1,0,0.00%
2026-07-12,B078X65KV1,平款-备货,12008C-B-L,12008,2,0,0.00%
2026-07-12,B078X6JHNP,平款-备货,12008C-B-XL,12008,2,0,0.00%
2026-07-12,B078X775JD,平款-备货,12008C-B-S,12008,1,1,100.00%
2026-07-12,B0793N6ZZC,FBA售完即止,12008C-B-XL,12008,0,1,100.00%
2026-07-12,B0793NYKHN,FBA售完即止,12008C-B-M,12008,4,0,0.00%
2026-07-12,B079C8XK5J,清货专项,JD60178773XL-Q91,JD6017,2,0,0.00%
2026-07-12,B07B2RR1HW,平款-备货,JC300387700M-Q91,JC3003,3,0,0.00%
2026-07-12,B07B2S89WQ,平款-备货,JC300387700L-Q91,JC3003,2,0,0.00%
2026-07-12,B07B2SGNL3,平款-备货,JC300387700S-Q91,JC3003,1,0,0.00%
2026-07-12,B07B5Y54VR,平款-备货,1516-Y-M/L,1516,2,0,0.00%
2026-07-12,B07B7KMCFQ,平款-备货,0725B-B-S,0725,1,0,0.00%
2026-07-12,B07BQG113V,清货专项,0725B-B-L,0725,1,0,0.00%
2026-07-12,B07C1P1M3C,爆款-备货,136-B-XL-JP,,1,0,0.00%
2026-07-12,B07C1P1NV2,爆款-备货,136-B-L-JP,,2,0,0.00%
2026-07-12,B07C1ZPF6R,平款-备货,136-Y-L-JP,,1,0,0.00%
2026-07-12,B07C21SYC2,爆款-备货,136-B-S-JP,,2,0,0.00%
2026-07-12,B07C24JMHH,爆款-备货,136-B-2XL-JP,,1,0,0.00%
2026-07-12,B07C61L7HG,平款-备货,AD6026C2XL-B91,AD6026,1,0,0.00%
2026-07-12,B07C6GTM9L,平款-备货,AD6026C00S-B91,AD6026,1,0,0.00%
2026-07-12,B07CBT561X,爆款-备货,136-B-M-JP,,5,0,0.00%
2026-07-12,B07CBV238H,平款-备货,136-Y-M-JP,,1,0,0.00%
2026-07-12,B07CCG32PK,平款-备货,AD6026C00M-B91,AD6026,2,0,0.00%
2026-07-12,B07CJ4X4DG,爆款-备货,"12008C-B-XL,12008B-B-XL",12008,22,2,9.09%
2026-07-12,B07CJ561N5,爆款-备货,"12008C-B-S,12008B-B-S",12008,34,5,14.71%
2026-07-12,B07CJC6HYT,爆款-备货,"ND12008C-B-3XL,12008B-B-3XL",12008,4,1,25.00%
2026-07-12,B07CJJCR8G,爆款-备货,"12008C-B-4XL,12008B-B-4XL",12008,4,1,25.00%
2026-07-12,B07CJJQQFP,爆款-备货,"ND12008C-B-2XL,12008B-B-2XL",12008,9,0,0.00%
2026-07-12,B07CJY2CDQ,爆款-备货,"12008C-B-L,12008B-B-L",12008,26,3,11.54%
2026-07-12,B07CJZC3PP,爆款-备货,12008C-B-M,12008,36,3,8.33%
2026-07-12,B07CNMF8KF,平款-备货,AD6025B00S-B91,AD6025,1,0,0.00%
2026-07-12,B07DC4QB8T,清货专项,AC30038770XL-Q91,AC3003,1,0,0.00%
2026-07-12,B07DC5975S,清货专项,AC300387700L-Q91,AC3003,1,0,0.00%
2026-07-12,B07DDFM7NV,FBA售完即止,AD604598300M-Q91,AD6045,1,0,0.00%
2026-07-12,B07DNBKPVY,平款-备货,D700287300S-Q91,D7002,1,0,0.00%
2026-07-12,B07DNBRVG5,平款-备货,D70028730XL-Q91,D7002,1,0,0.00%
2026-07-12,B07DNBV381,平款-备货,D700287300M-Q91,D7002,2,0,0.00%
2026-07-12,B07DNBXNP8,平款-备货,D700287300L-Q91,D7002,1,0,0.00%
2026-07-12,B07DVJ3Q3Q,爆款-备货,AD6044B00L-B91,AD6044,7,0,0.00%
2026-07-12,B07DVM47DD,爆款-备货,AD6044B0XL-B91,AD6044,1,1,100.00%
2026-07-12,B07DVM6Q28,爆款-备货,"AD6044B3XL-B91,AD60449833XL-B91",AD6044,1,0,0.00%
2026-07-12,B07DVNSS4C,爆款-备货,AD6044B2XL-B91,AD6044,1,0,0.00%
2026-07-12,B07DVS4WTS,爆款-备货,AD6044B00M-B91,AD6044,4,0,0.00%
2026-07-12,B07F1MHRKM,爆款-备货,"AD6025B00L-B91,AD602598100L-B91",AD6025,36,5,13.89%
2026-07-12,B07F1NZ3PS,爆款-备货,"AD6025B2XL-B91,AD60259812XL-B91",AD6025,15,2,13.33%
2026-07-12,B07F1PN1X3,爆款-备货,AD6025B4XL-B91,AD6025,4,1,25.00%
2026-07-12,B07F1PNRXR,爆款-备货,"AD6025B3XL-B91,AD60259813XL-B91",AD6025,5,1,20.00%
2026-07-12,B07F1PZ83D,爆款-备货,AD6025B00S-B91,AD6025,6,1,16.67%
2026-07-12,B07F1Q4TT3,爆款-备货,"AD6025B00M-B91,AD602598100M-B91",AD6025,27,0,0.00%
2026-07-12,B07F1WJLVC,爆款-备货,"AD6025B0XL-B91,AD60259810XL-B91",AD6025,24,5,20.83%
2026-07-12,B07FGDNJ65,爆款-备货,"AD6044B00S-B91,AD604498300S-B91",AD6044,1,0,0.00%
2026-07-12,B07G11D19D,畅款-备货,136C-B-S,,1,0,0.00%
2026-07-12,B07G11T8Z8,畅款-备货,136C-Y-XL,,3,0,0.00%
2026-07-12,B07G125K51,畅款-备货,136C-Y-L,,5,0,0.00%
2026-07-12,B07G12QFXL,畅款-备货,136C-Y-M,,2,0,0.00%
2026-07-12,B07G13D35Z,畅款-备货,136C-B-L,,2,0,0.00%
2026-07-12,B07G13JD56,畅款-备货,136C-Y-2XL,,1,0,0.00%
2026-07-12,B07G15MGZF,畅款-备货,136C-Y-S,,3,0,0.00%
2026-07-12,B07GD6W7GT,爆款-备货,1111-28D-B-L,1111-28,5,0,0.00%
2026-07-12,B07GD714H9,爆款-备货,1111-28C-Y-2XL,1111-28,1,0,0.00%
2026-07-12,B07GD716YQ,爆款-备货,1111-28D-Y-S,1111-28,2,0,0.00%
2026-07-12,B07GD71DP7,爆款-备货,1111-28D-B-S,1111-28,4,0,0.00%
2026-07-12,B07GD815CX,爆款-备货,1111-28D-Y-XS,1111-28,3,0,0.00%
2026-07-12,B07GD842CM,爆款-备货,1111-28D-Y-L,1111-28,5,0,0.00%
2026-07-12,B07GD8Q2DN,爆款-备货,1111-28D-B-XS,1111-28,5,0,0.00%
2026-07-12,B07GD8RQB6,爆款-备货,1111-28D-B-XL,1111-28,3,0,0.00%
2026-07-12,B07GD9863F,爆款-备货,1111-28D-Y-M,1111-28,4,1,25.00%
2026-07-12,B07GD98F8Z,爆款-备货,1111-28D-Y-XL,1111-28,0,1,100.00%
2026-07-12,B07GD9FQJG,爆款-备货,1111-28C-Y-3XL,1111-28,0,1,100.00%
2026-07-12,B07GDBG68Z,爆款-备货,1111-28C-B-2XL,1111-28,2,0,0.00%
2026-07-12,B07GDBTW41,爆款-备货,1111-28D-B-M,1111-28,6,0,0.00%
2026-07-12,B07GDC3D46,爆款-备货,1111-28C-B-3XL,1111-28,1,0,0.00%
